id,prediction
0,-0.9601913
1,-1.7835642
2,-2.0987445
3,-1.9884551
4,-1.5002519
5,-1.6726653
6,-1.9705985
7,-1.9489941
8,-1.4956692
9,-1.6714620
10,-1.9863391
11,-1.9680149
12,-1.5295386
13,-1.7262096
14,-1.9908675
15,-1.9336384
16,-1.5189112
17,-1.7435170
18,-1.9685157
19,-1.9014419
20,-1.5028740
21,-1.7739876
22,-1.9854060
23,-1.9172225
24,-1.5045091
25,-1.8012453
26,-2.0099055
27,-1.9493208
28,-1.5119867
29,-1.8187839
30,-2.0385578
31,-1.9698600
32,-1.5306191
33,-1.7694325
34,-1.9696291
35,-1.9171388
36,-1.2970927
37,-1.1525121
38,-1.6983419
39,-1.8594293
40,-0.8816160
41,0.0323668
42,-1.5237582
43,-2.1202863
44,-0.7503484
45,0.9861608
46,-1.6197811
47,-2.5814564
48,-0.9416731
49,1.5698833
50,-1.6468875
51,-2.7827782
52,-0.8091171
53,1.9702460
54,-1.4097376
55,-2.4906198
56,-2.5898495
57,-0.7532595
58,-3.8040686
59,-4.1344402
60,-1.6456035
61,-1.4255685
62,-3.7554593
63,-3.7179701
64,-1.5566284
65,-1.4879244
66,-3.1435327
67,-3.0494427
68,-1.5068675
69,-1.7281978
70,-2.4915539
71,-2.3244100
72,-1.5918779
73,-1.9086834
74,-2.2081953
75,-2.1581820
76,-1.7085071
77,-1.9351700
78,-2.2365091
79,-2.2088854
80,-1.7638666
81,-1.9326532
82,-2.1939753
83,-2.1296728
84,-1.6688093
85,-1.8017030
86,-2.0316661
87,-1.9707676
88,-1.5462767
89,-1.6420160
90,-1.8934035
91,-1.8398899
92,-1.4605052
93,-1.5549128
94,-1.8222887
95,-1.8120935
96,-1.3377193
97,-1.4044854
98,-1.6353727
99,-1.6426822
100,-1.3639364
101,-1.5022648
102,-1.7504389
103,-1.7359823
104,-1.4564738
105,-1.5819809
106,-1.8530538
107,-1.8552361
108,-1.5652739
109,-1.6621295
110,-1.9739658
111,-1.9604218
112,-1.5777717
113,-1.6732671
114,-1.9905326
115,-1.9856777
116,-1.5531608
117,-1.7181581
118,-2.0394028
119,-2.0138250
120,-1.5489565
121,-1.7621596
122,-2.0891346
123,-2.0193280
124,-1.5013031
125,-1.8085509
126,-1.8343995
127,-1.8625124
128,-1.3969863
129,-1.5642783
130,-1.7594370
131,-1.7784326
132,-1.2678486
133,-0.9333017
134,-1.4243302
135,-1.6155217
136,-0.7781262
137,0.4042577
138,-0.9260535
139,-1.6351516
140,-0.2970582
141,1.9077923
